activite_production_1;Offset;Offset;Ofset;Offset;Offset
activite_production_2;Numérique;Digital;Numrique;Digitale;Digital
activite_production_3;Négoce;Negocio;Ngoc;Negoce;Trade
activite_production_4;Sérigraphie;Serigrafía;Srigraphie;Serigrafia;"Screen printing"
activite_production_5;Flexographie;Flexotisk;Flessografia;Flexography;Flexografía
activite_production_6;Service;Servis;Servizio;Service;Departemento
activite_production_7;Typographie
valeur_142;"350g Mat Condat Périgord";"350gr mate Condat Perigord";"Mat 350g CONDAT Prigord";"350g opaca Condat Périgord";"350g Mate Condat Perigord";"350gsm Silk Coated"
valeur_143;"350g Cyclus Print";"350g Cyclus Print";"350g Cyclus tisku";"350g Cyclus Print";"350g Cyclus Print";"350gsm Cyclus Print"
valeur_145;"250g Adhésif 170g + Support 80g";"250g Adhesivo 170g + Soporte 80g";"Adhsif 250 g 170 g 80 g Podpora";"250g Adesiva 170g + Support 80g";"250g Autocolante";"250gsm - Adhesive 170gsm + Support 80gsm"
valeur_146;"280g Adhésif 80g + Support 200g";"280g Adhesivo";"Adhsif 280 g 200 g 80 g Podpora";"280g Adesiva 80g + Supporto 200g";"280g Autocolante";"280gsm -  Adhesive 80gsm + Support 200gsm"
valeur_147;"500µ PVC Blanc";"PVC blanco";"500 PVC bílé";"500µ PVC Bianco";"500µ PVC branco";"500µ White PVC"
valeur_148;"550µ PVC transparent";"PVC transparente";"550 èiré PVC";"550µ PVC trasparente";"PVC transparente";"550µ Transparent PVC "
valeur_149;"285g Curious Translucents";"Curious Translúcido 230g";"Zvìdavý Prùhledné 285g";"285g Curious Translucents";"Curious Translucents 230g";"230gsm Curious Translucent"
valeur_150;"320g Conqueror CX 22 Diamant recyclé";"Conqueror CX 22 Diamante Reciclado";"320g Conqueror CX 22 Diamond recyklovaných";"320g Conqueror CX 22 Diamant riciclata";"Conqueror CX 22 Diamante Reciclado";"320gsm Conqueror CX22 Diamond White Recycled"
valeur_151;"250g Rives Design Extra Blanc";"Rives Design Extra Blanco";"Extra bílý Rives 250g design";"250g Rives Design Extra Bianco";"Rives Design Extra Branco";"250gsm Rives Tradition Bright White"
valeur_152;"300g Rives Vergé Blanc Glacier";"300g Rives Verge Blanco Glacier";"Glacier White Rives 300g Verg";"300g Rives Laid Brilliant White";"Rives Vergé Branco Glaciar";"300gsm Rives Laid Glacier White"
valeur_153;"250g Chromolux Or";"Cromolux Oro";"250g Chromolux Kè";"250g Chromolux Oro";"Cromolux Ouro";"250gsm Chromolux Gold"
valeur_154;"250g Chromolux Argent";"Cromolux Plata";"250g Silver Chromolux";"250g Chromolux Argento";"Cromolux Prata";"250gsm Chromolux Silver"
valeur_155;"250g Chromolux Chrome";"Cromolux Cromo";"Chromolux 250g Chrome";"250g Chromolux Chrome";"Cromolux Cromo";"250gsm Chromolux Chrome"
valeur_209;"300g Couché Brillant";"300gr. Estucado brillante";"300 g lesklá";"300g patinata lucida";"300g Couché Brilho";"300gsm Gloss Coated"
valeur_222;"80g Cyclus Offset";"80g Cyclus Offset";"80g Cyclus Offset";"80g Cyclus Offset";"80g Cyclus Offset";"80gsm Cyclus Offset"
valeur_223;"90g Offset";"90g offset";"90g ofset";"90g Offset";"90g Offset";"90gsm Uncoated"
valeur_224;"115g Cyclus Print";"115 Cyclus print";"115g Cyclus tisku";"115g Cyclus Print";"115 Cyclus Print";"115gsm Cyclus Print"
valeur_225;"135g Couché Brillant";"135g Estucado brillante";"135 g lesklá";"135g patinata lucida";"135g Couché Brilho";"135gsm Gloss Coated"
valeur_226;"140g Cyclus Offset";"140g Cyclus offset";"140g Cyclus Offset";"140g Cyclus Offset";"140g Cyclus Offset";"140gsm Cyclus Offset"
valeur_227;"170g Couché Brillant";"170g Estucado brillante";"170 g lesklá";"170g patinata lucida";"170g Couché Brilho";"170gsm Gloss Coated"
valeur_228;"170g Couché Mat";"170g Estucado mate";"170g Matt potažené";"170g patinata opaca";"170g Couché Mate";"170gsm Silk Coated"
valeur_229;"250g Couché Recyclé";"250g Estucado Reciclado";"250g Cyclus tisku";"250g Patinata Riciclata";"250g Cyclus Print";"250gsm Coated Recycled"
valeur_234;"80g Cyclus Office";"80g Cyclus office";"80g Cyclus Office";"80g Cyclus Office";"80g Cyclus Office";"80gsm Cyclus Office"
valeur_235;"90g Opale Recyclé";"90g Offset reciclado";"90g Opal Recycl";"90g Opale riciclata";"90g Offset Reciclado";"90gsm Premium Smooth Recycled"
valeur_236;"90g Offset Laser";"90g Offset láser";"90g ofset Laser";"90g Offset Laser";"90g Offset laser";"90gsm Offset Laser"
valeur_237;"100g Opale";"100g Opale";"100g Opal";"100g Opale";"100g Opale";"100gsm premium smooth"
valeur_279;"150g CB + Carton Compact 18/10 ème";"hoja 150g estucado brillante + cartón compact 18/10";"CB 18/10 Kompaktní 150g Karton mì";"150g patinata lucida + Cartone compatto 18/10 ";"folha 150g couché brilho + cartão compact 18/10";"150gsm Coated + 1800µ Carton Board"
valeur_280;"150g CM + Carton Compact 18/10 ème";"hoja 150g estucado mate + cartón compact 18/10";"CM 18/10 Kompaktní 150g Karton mì";"150g patinata opaca + Cartone compatto 18/10 ";"folha 150g couché mate + cartão compact 18/10"
valeur_292;"250g Tissu Polyester Ignifugé M1";"Tejido poliéster 270g ignifugado M1";"250 g polyesterové tkaniny nehoølavé M1";"250g Tessuto Poliestere ignifugo M1";"Tecido poliéster 270g Anti-fogo M!";"250gsm Polyester Fabric - Fire retardent M1"
valeur_301;"Aluminium 1,5 mm ";Aluminio;Hliník;Alluminio;Alumínio;Aluminium
valeur_302;"210g Tissu Polytrapièze Ignifugé M1";"tejido 210g M1 reciclable";"Nehoølavé tkaniny 210g Polytrapize M1";"210g tessuto ignifugo M1";"tecido 210g M1 reciclável";"270gsm Polyester Fabric M1"
valeur_303;"180g Encapsulé";"180g encapsulado";"Zábaly 180g";"180g incapsulato";"180g encapsulado";"180gsm Encapsulated"
valeur_304;"180g Plastifié 75 µ Satiné";"180g plastificado 75 micrones satinado";"Vrstvené Satin 180 g 75";"180g plastificato 75 µ satinato";"180g plastificação 75 micron acetinado";"180gsm laminated 75µ Satin"
valeur_305;"250g Rives Tradition Extra Blanc";"Rives Tradition Extra Blanco";"Rives Tradice 250g extra bílý";"250g Rives Tradition Extra Blanc";"Rives Tradition Extra Branco";"250gsm Rives Tradition Bright White"
valeur_306;"150g CB + Carton Compact 15/10 ème";"estucado brillante 150 gr + cartón 15/10º ";"CB 15/10 Kompaktní 150g Karton mì";"150g patinata lucida + Cartone compatto 15/10";"couché brilho 150 gr + cartão 15/10º "
valeur_308;"80g Adhésif Satin avec Refente";"80 gr estucado satinado con vuelta";"80g Adhsif se saténovým Splitu";"80g Adhésif Satin avec Refente";"80 gr couché acetinado com verso";"80gsm Adhesive Satin with Slitting "
valeur_311;"100µ Vinyle Blanc";"Vinilo blanco";"100 White Vinyl";"100µ Vinile bianco";"Vinil branco";"100µ White Vinyl"
valeur_312;"100µ Vinyle Transparent";"Vinilo transparente";"100 jasné, vinyl";"100µ vinile trasparente";"Vinil transparente";"100µ Transparent Vinyl"
valeur_316;"235g Vinyle Oracal Blanc";"Vinilo oracal 235gr transparente";"235g Vinyl Oracal Blanc";"235g Vinile Oracal Bianco";"Vinil oracal 235g transparente";"235gsm White Oracal Vinyl"
valeur_317;"235g Vinyle Oracal Transparent";"Vinilo oracal 235gr transparente";"235g Vinyl Oracal transparentní";"235g Vinile Oracal Trasparente";"Vinil oracal 235g transparente";"235gsm Oracal Transparent Vinyl"
valeur_360;"90g Offset Recyclé Erapure";"90g Offset reciclado Era pure";"90g ofset Recycl Erapure";"90g Offset riciclata Erapure";"90g Offset reciclado Era pure";"90g Offset Erapure Recycled"
valeur_361;"90g Kraft Brun";"90 Kraft";"90g Kraft";"90g Kraft";"90 Kraft";"90g Brown Kraft"
valeur_413;"130g Cyclus Print";"130g Cyclus Print";"130g Cyclus tisku";"130g Cyclus Print";"130g Cyclus Print";"130gsm Cyclus Print"
valeur_419;"135g Demi Mat";"135gr. semi-mate";"Demi Matte 135g";"135g Semi Opaca";"135g Semi-mate";"135gsm Silk Coated"
valeur_420;"120g Mat Inifugé M1";"120g Ignifugado M1";"Mat 120g Inifug M1";"120g Opaco Ignifugo M1";"120g Anti-fogo M1";"120gsm Matt fire-retardent M1"
valeur_421;"120g Mat REH";"120g Mat REH";"Mat 120g regulátorem REH";"120g Opaco REH";"120g Mat REH";"120gsm Matt Water resistant"
valeur_422;"Verre Acrylique 5 mm";"placa de vidrio acrílico 5mm";"5 mm akrylového skla";"Vetro Acrilico 5 mm";"placa de vidro acrílico 5mm";"Acrylic glass 5mm"
valeur_426;"Aluminium Anodisé 2 mm";"Placa de aluminio anodizado";"Hliník anoda 2 mm";"Alluminio anodizzato 2 mm";"Placa de alumínio anodizado";"Anodised Aluminium 2mm"
valeur_427;"Aluminium Brillant 2 mm";"Placa de aluminio brillante";"Brilantní hliníku 2 mm";"Alluminio Lucido 2 mm";"Placa de alumínio brilhante";"2mm Gloss Aluminium "
valeur_428;"Toile de Peintre";"Lienzo de tela";"Malíø plátno";"Tela del pittore";"Quadro de tela";"Canvas prints"
valeur_431;"Akylux 3,5 mm";"Akylux espesor 3,5mm";"Akylux 3.5 mm";"Akylux 3,5 mm";"Akylux espessura 3,5mm";"Akylux 3,5mm"
valeur_436;"Dibond 3 mm";"Dibond espesor 3mm";"Dibond 3 mm";"Dibond 3 mm";"Dibond espessura 3mm";"Dibond 3mm"
valeur_474;"80g Offset Repositionnable Blanc";"80g offset reposicionable blanco";"Pøemístitelné 80g ofset bílý";"80g Offset Riposizionabile Bianco";"80g offset branco reposicionável";"80gsm White Repositionable Offset "
valeur_478;"80g Offset Repositionnable Jaune";"80g offset reposicionable amarillo";"80g ofset Vyjímatelný žlutá";"80g Offset Riposizionabile Giallo";"80g offset amarelo reposicionável";"80gsm Yellow Repositionable Offset "
valeur_481;"Polypropylene 8/10° Blanc";"Polipropileno 8/10º blanco";"Polypropylen 8 / 10 bílá";"Polipropilene 8/10° Bianco";"Polipropileno 8/10º branco";"1800µ Polypropylene"
valeur_482;"Polypropylene 8/10° Transparent";"Polipropileno 8/10º transparente";"Polypropylen 8 / 10 Vymazat";"Polipropilene 8/10° Trasparente";"Polipropileno 8/10º transparente"
valeur_507;"110g Maille bloquée Ignifugé M1";"115g Tela bloqueada Ignífuga M1";"Zpomalovaè hoøení ok 115g bloky M1";"tessuto 115g ignifugo M1";"115g Tela bloqueada Anti-fogo M1"
valeur_508;"250g Satin Ignifugé M1";"250g Satinado Ignífugo M1";"200g Satin omezující oheò M1";"250g satinata Ignifuga M1";"250g Acetinado Anti-fogo M1";"250gsm Satin - Fire retardent M1"
valeur_509;"200g Satin";"200g Satinado";"200g Satin";"200g Satinata";"200g Acetinado";"200gsm satin"
valeur_510;"200g Satin Encapsulé";"200g Satinado Encapsulado";"200g Satin zábaly";"200g Satin Encapsulé";"200g Acetinado Encapsulado";"200gsm Encapsulated Satin "
valeur_499;"80g Offset Laser";"80g Offset Laser";"80g ofset Laser";"80g Offset Laser";"80g Offset Laser";"80gsm Offset Laser"
valeur_502;"380g Couché Mat";"380g Estucado Mate";"380g Matt potažené";"380g Patinata Opaca";"380g Couché Mate";"380gsm Silk coated"
valeur_543;"250g Couché Brillant UV";"250g Estucado Brillante UV";"250 g lesklá";"250g Patinata Lucida";"250g Couché brilho";"250gsm Gloss UV Coated"
valeur_544;"550g Bâche PVC";"550g Lona PVC";"BChE 550g PVC";"550g Banner PVC";"550g Lona PVC";"550gsm PVC Banner"
valeur_545;"420g Bâche PVC M1";"550g Lona PVC M1";"BChE 550g PVC M1";"420g Banner PVC M1";"550g Lona PVC M1";"420gsm PVC Banner - Fire retardent M1"
valeur_562;"100µ Vinyle Transparent pour tranfsert";"100µ Vinilo Transparente para tranfser";"100 jasné, vinyl pro tranfsert";"100µ Vinile Trasparente per tranfsert";"100µ Vinil Transparente para tranfser";"100µ Transparent Vinyl for tranfser"
valeur_569;Doming;Doming;Doming;Doming;"Autocolante resina";Doming
valeur_570;"172µ Adhésif Avery 62µ + Support 110µ";"172µ Adhesivo Avery 62µ + Soporte 110µ";"Adhsif Avery 172 110 62 Podpora";"172µ Adhésif Avery 62µ + Support 110µ";"172µ Autocolante Avery 62µ + Suporte 110µ";"172µ Avery Adhesive 62µ + Support 110µ"
valeur_571;"60g Celibio Biodégradable Blanc";"	 	 	 60g Celibio Biodegradable Blanco";"60g Celibio Biodgradable Bílá";"60g Celibio Biodegradabile Bianca";"60g Celibio Biodegradável Branco";"60gsm Celibio white biodegradable "
valeur_572;"17g Ouate nature recyclée";"17g Guata natural reciclada";"17g recyklovat pøírodní vaty";"17g Ouate nature recyclée";"17g Guata natural reciclada";"17gsm natural recycled "
valeur_574;"60g Celibio Biodégradable Couleur";"	 	 	 60g Celibio Biodegradable Color";"60g Celibio Biodgradable barev";"60g Celibio Biodégradable Couleur";"60g Celibio Biodegradável Cor";"60g Celibio Biodegradable (Colour)"
valeur_581;"120g Papier Offset";"120g Offset FSC";"120g Carta Offset";"120g Offset FSC";"120gsm Uncoated Paper"
valeur_589;"120g Offset Laser";"120g Offset Laser";"120g Offset Laser";"120g Offset Laser";"120gsm Offset Laser"
valeur_592;Magnet;Imán;Magnete;Iman;Magnet
valeur_593;"200g Synthétique";"200g Sintético";"200g Sintetico";"200g Sintético";"Synthetic 200gsm"
valeur_594;"Ruban 2 cm tissu polyester";"Cinta 2 cm tejido adhesivo";"Nastro 2 cm tessuto poliestere";"Fita 2 cm tecido autocolante";"20mm polyester fabric"
valeur_595;"Gobelet 33cl Blanc translucide";"Vaso de plástico 33cl Blanco Translúcido";"Bicchiere 33cl Bianco traslucido";"Copo de plástico 33cl Branco Translúcido";"33cl White translucent Cup"
valeur_596;"115g Demi mat";"115g semi-mate";"115g Semi opaca";"115g Semi-mate";"115gsm Silk Coated"
valeur_598;"100g Kraft Brun";"100g Kraft Marrón";"100g Kraft Marrone";"100g Kraft Castanho";"100gsm Brown Kraft"
valeur_599;"100g Kraft Blanc";"100g Kraft Blanco";"100g Kraft Bianco";"100g Kraft Branco";"100gsm White Kraft"
valeur_600;"110g Kraft Brun";"110g Kraft Marrón";"110g Kraft Marrone";"110g Kraft Castanho";"110gsm Brown Kraft"
valeur_601;"110g Kraft Blanc";"110g Kraft Blanco";"110g Kraft Bianco";"110g Kraft Branco";"110gsm White Kraft"
valeur_602;"120g Kraft Brun";"120g Kraft Marrón";"120g Kraft Marrone";"120g Kraft Castanho";"120gsm Brown Kraft"
valeur_603;"120g Kraft Blanc";"120g Kraft Blanco";"120g Kraft Bianco";"120g Kraft Branco";"120gsm White Kraft"
valeur_607;"140g Tissu Stretch ignifugé M1";"140g Tejido Stretch ignifugado M1";"140g Tessuto Stretch ignifugo M1";"140g Tecido Stretch anti-fogo M1";"140gsm Stretch Fabric - Fire retardent M1"
valeur_608;"117g Maille bloquée Ignifugé M1";"117g Malla bloqueada ignífuga M1";"117g Maille bloquée Ignifugé M1";"117g malha bloqueada anti-fogo M1";"117gsm blocked link - Fire retardent M1"
valeur_609;"260g Tissu Polytrapièze Ignifugé M1";"260g Lona Poliéster Ignífuga M1";"260g tessuto ignifugo M1";"260g Lona Poliester Anti-fogo M1"
valeur_648;"200g Couché Brillant";"200g Estucado Brillante";"200g Patinata Lucida";"200g Couché Brilho";"200gsm Gloss Coated"
valeur_649;"Polypropylene 8/10° Opaline";"Polypropylene 8/10° Opaline";"Polipropilene 8/10° Opaline";"Polipropileno 8/10° Opaline";
valeur_656;"250g Eco Recyclé";"250g Eco Reciclado";"250g Eco Riciclata";"250g Eco Reciclado";"250gsm Eco Recycled "
valeur_658;"115g Couché Brillant";"115g Estucado Brillante";"115g Patinata Lucida";"115g Couché Brilho";"115gsm Gloss Coated"
valeur_659;"150g Couché Brillant";"150g Estucado Brillante";"150g patinata lucida";"150g Couché Brilho";"150gsm Gloss Coated"
valeur_660;"150g Demi Mat";"150gr. semi-mate";"150g semi-opaca";"150g Semi-mate";"150gsm Silk Coated"
valeur_664;"90g Couché Brillant";"90g Estucado Brillante";"90g Patinata Lucida";"90g Couché Brilho";"90gsm Gloss Coated"
valeur_665;"90g Demi Mat";"90g Semi Mate";"90g Semi Opaco";"90g Semi-mate";"90gsm Silk Coated"
valeur_666;"80g Offset";"80g Offset";"80g Offset";"80g Offset";"80gsm Uncoated"
valeur_668;"120g Offset blanc";"120g Offset blanco";"120g Offset bianco";"120g Offset branco";"120gsm White uncoated"
valeur_669;"90g Offset Fluo Vert";"90g Offset Fluo Verde";"90g Offset Verde Fosforescente";"90g Offset Fluo Verde";"90gsm Uncoated Fluorescent Green"
valeur_670;"90g Offset Fluo Jaune";"90g Offset Fluo Amarillo";"90g Offset Giallo Fosforescente";"90g Offset Fluo Amarelo";"90gsm Uncoated Fluorescent Yellow"
valeur_671;"90g Offset Fluo Orange";"90g Offset Fluo Naranja";"90g Offset Arancione Fosforescente";"90g Offset Fluo Laranja";"90gsm Uncoated Fluorescent Orange"
valeur_672;"115g Offset Dos Bleu";"115g Offset Dorso Azul";"115g Offset Dorso Blu";"115g Offset Verso Azul";"115gsm Offset Blue Back"
valeur_673;"350g Couché Brillant";"350g Estucado Brillante";"350 Patinata Lucida";"350g Couché Brilho";"350gsm Gloss Coated"
valeur_674;"100g Offset Velin Blanc Iceberg";"100g Blanco Extremo";"100g Offset Velin Blanc Iceberg";"100g Branco Extremo"
valeur_675;"120g Offset Velin Blanc";"	 120g Blanco Extremo";"120g Offset Velin Blanc";"120g Branco Extremo"
valeur_554;"150µ One Way Vision Microperforé";"150µ One Way Vision Microperforado";"150 Jednosmìrná Vision mikroperforovanou";"150µ One Way Vision Microperforato";"150µ One Way Vision Microperfurado";"150µ One Way Vision Microperforated"
valeur_555;"250µ Vinyle Blanc SolGraphic";"250µ Vinilo Blanco SolGraphic";"250 bílé vinylové solgraphics";"250µ Vinyle Blanc SolGraphic";"250µ Vinilo Branco SolGraphic"
valeur_617;"Dupli - CB Blanc 80g / CF Blanc 170g";"Dupli - EB Blanco 80g / CF Blanco 170g";"Dupli - CB Blanc 80g / CF Blanc 170g";"Duplo - CB Branco 80g / CF Branco 170g";"Duplicate: 80gsm Top  White / 170gsm Bottom White"
valeur_618;"Dupli - CB Blanc 62g / CF Jaune 62g";"Dupli - EB Blanco 62g / CF Amarillo 62g";"Dupli - CB bianco 62g / CF giallo 62g";"Duplo - CB Branco 62g / CF Amarelo 62g";"Duplicate - 60gsm White / 60gsm Yellow"
valeur_619;"Tripli - CB Blanc 80g / CFB Blanc 60g / CF Blanc 170g";"Tripli - EB Blanco 80g / CFB Blanco 60g / CF Blanco 170g ";"Tripli - CB Blanc 80g / CFB Blanc 60g / CF Blanc 170g";"Triplo -  CB Branco 80g / CFB Branco 60g / CF Branco 170g";"Triplicate - 80gsm Top White / 60gsm Middle White / 170gsm Bottom White"
valeur_620;"Tripli - CB Blanc 62g / CFB Rose 62g / CF Jaune 62g";"Tripli - EB Blanco 62g / CFB Rosa 60g / CF Amarillo 62g ";"Tripli - CB bianco 62g / CFB rosa 62g / CF giallo 62g";"Triplo -  CB Branco 62g / CFB Rosa 62g / CF Amarelo 62g";"Triplicate - 60gsm White / 60gsm Pink / 60gsm Yellow"
valeur_677;"480g Invercote 280g + Condat silk 200 g";"480g Invercote 280g + Condat silk 200 g";"480g Invercote 280g + Condat silk 200 g";"480g Invercote 280g + Condat silk 200g";"480gsm invercote 280gsm + Silk Coated 200gsm"
valeur_735;"450g Synaps OM";"450g Synaps OM";"450g Synaps OM";"450g Synaps OM";" "
valeur_831;"Vinyle dépoli";"Vinilo mate";"Vinyle dépoli";"Vinil translúcido";"Frosted Vinyl "
valeur_835;"100g Couché Brillant Recyclé";"100% Estucado Brillante reciclado";"100g Patinata Lucida Reciclata";"100% Couché Brilho reciclado";"100gsm Gloss Coated Recycled"
valeur_836;"750 PVC Blanc";"750 PVC Blanco";"750 PVC Bianco";"750 PVC Branco";"750 White PVC"
valeur_837;"175g Manager ";"175g Manager ";"175g Manager ";"175g Manager ";"175g Manager"
valeur_930;"300g Demi Mat";"300g Semi Mate";"300g Semi Opaca";"300g Semi-mate";"300gsm Silk Coated"
valeur_932;"250g Couché Mat";"250g Estucado Mate";"250g Patinata Opaca";"250g Couché Mate";"250gsm Silk Coated"
valeur_933;"170g Cyclus Print";"170g Cyclus Print";"170g Cyclus Print";"170g Cyclus Print";"170gsm Cyclus Print"
valeur_934;"300g Offset Blanc";"300g Offset Blanco";"300g Offset Bianco";"300g Offset Branco";"300gsm White uncoated"
valeur_935;"135g Couché Brillant - P";"135g Estucado Brillante- Certificado PEFC";"135g Patinata Lucida - P";"135g Couché Brilho - Certificado PEFC";" "
valeur_937;"300g Demi Mat";"300g Semi Mate";"300g Semi Opaca";"300g Semi-mate";"300gsm Silk Coated"
valeur_939;"150g Couché Recyclé";"150g Estucado Reciclado";"150g patinata riciclata";"150g Couché Reciclado";"150gsm Coated Recycled"
valeur_940;"160g Cyclus Offset";"160g Cyclus Offset";"160g Cyclus Offset";"160g Cyclus Offset";"160gsm Cyclus Offset"
valeur_941;"200g Demi Mat";"200g Semi Mate";"200g Semi Opaca";"200g Semi-mate";"200gsm Silk Coated"
valeur_942;"60g autocopiant - feuillet 1";"60g autocopiativo - hoja 1";"60g autocopiante - foglietto 1";"60g Autocopiativo - folha 1";"60gsm NCR Paper - Top sheet"
valeur_943;"170g Couché Recyclé";"170g Estucado Reciclado";"170g Patinata Reciclata";"170g Couché Reciclado";"170gsm Coated Recycled"
valeur_944;"90g Couché Recyclé";"90g Estucado Reciclado";"90g Patinata Reciclata";"90g Couché Reciclado";"90gsm Coated Recycled"
valeur_945;"250g Demi Mat";"250g Semi Mate";"250g Semi Opaca";"250g Semi-mate";"250gsm Silk Coated"
valeur_947;"80g autocopiant - feuillet 1";"80g autocopiativo-hoja 1";"80g autocopiante - foglietto 1";"80g Autocopiativo-folha 1";"80gsm NCR Paper - Top Sheet"
valeur_948;"300g Cyclus Print";"300g Cyclus Print";"300g Cyclus Print";"300g Cyclus Print";"300gsm Cyclus Print"
valeur_949;"90g Cyclus Print";"90g Cyclus Print";"90g Cyclus Print";"90g Cyclus Print";"90gsm Cyclus Print"
valeur_950;"100g Demi Mat";"100g Semi Mate";"100g Semi Opaca";"100g Semi-mate";"100gsm Silk Coated"
valeur_951;"140g Offset";"140g Offset";"140g Offset";"140g Offset";"140gsm Uncoated"
valeur_952;"150g Offset";"150g Offset";"150g Offset";"150g Offset";"150gsm Uncoated"
valeur_953;"250g Demi Mat";"250g Semi Mate";"250g Semi Opaca";"250g Semi-mate";"250gsm Silk Coated"
valeur_954;"100g Offset";"100gr. Offset";"100g Offset";"100g Offset";"100gsm Uncoated"
valeur_956;"270g Cyclus Offset";"270g Cyclus Offset";"270g Cyclus Offset";"270g Cyclus Offset";"270gsm Cyclus Offset"
valeur_958;"135g Offset";"135g Offset";"135g Offset";"135g Offset";"135gsm Uncoated"
valeur_965;"100g Couché Brillant";"100g Estucado Brillante";"100g Patinata Lucida";"100g Couché Brilho";"100gsm Gloss Coated"
valeur_973;"120g Mat REH Dos Bleu";"120g Mate REH Dorso Azul";"120g Mat REH Dos Bleu";"120g Mate REH Verso Azul";"120gsm Matt Water resistant Blue Back"
valeur_976;"120g Demi Mat";"120g Semi Mate";"120g Semi Opaca";"120g Semi-mate";"120gsm Silk Coated"
valeur_979;"200g Offset Recyclé";"200g Offset Reciclado";"200g Offset Reciclato";"200g Offset Reciclado";"200gsm Offset Recycled"
valeur_985;"115g Offset Recyclé";"115g Offset Reciclado";"115g Offset Reciclato";"115g Offset Reciclado";"115gsm Offset Recycled"
valeur_1000;"690g Kapatex";"690g Kapatex";"690g Kapatex";"690g Kapatex";"690g Kapatex"
valeur_1002;"170g Satiné";"170g Satinado";"170g Satinata";"170g Acetinado";"170gsm satin"
valeur_1004;"110g Kraft Rouge";"110g Kraft Rojo";"110g Kraft rosso";"110g Kraft Vermelho";"110gsm Red Kraft"
valeur_1005;"110g Kraft Noir";"110g Kraft Negro";"110g Kraft nero";"110g Kraft Preto";"110gsm Black Kraft"
valeur_1020;"130g Kraft Armé";"130g Kraft Arme";"130g Kraft Armé";"130g Kraft Arme";"130gsm Reinforced Kraft"
valeur_1022;"350g offset";"350g offset";"350g offset";"350g offset";"350gsm Uncoated"
valeur_1025;"80 gm Demi Mat";"80g Semi Mate";"80g semi opaca";"80g Semi-Mate";"80gsm Silk"
valeur_1029;"100g Offset recyclé";"100 g Offeset reciclado";"100g Offset riciclata";"100 g Offset reciclado";"100gsm Recycled Offset"
valeur_1031;"160g Offset Recyclé";"160g Offset Reciclado";"160g Offset riciclata";"160g Offset Reciclado";"160gsm Recycled Offset"
valeur_1041;"80 g couché brillant";"80 EB";"80g patinata lucida";"80g couché brilho";"80gsm gloss coated"
